id,name,address,city,state,postcode,phone,email,website,adoption_url
VA788,K Kids Dachshund Rescue Inc,,Staunton,VA,24401,,savedoxies@kkidsrescue.org,https://www.petfinder.com/member/us/va/staunton/k-kids-dachshund-rescue-inc-va788/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
ON591,Rescue Dogs Lebanon-Canada,,Etobicoke,ON,M9A 3V3,(416) 587-8804,RescueDogsLebanonCanada@gmail.com,https://www.petfinder.com/member/ca/on/etobicoke/rescue-dogs-lebanon-canada-on591/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NJ937,Lawns to Laps Cat Rescue,,Kearny,NJ,07032,(201) 949-8566,LawnsToLaps@gmail.com,https://www.petfinder.com/member/us/nj/kearny/lawns-to-laps-cat-rescue-nj937/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
WI517,"Passion for Paws, LLC",437 S. Junction Rd,Madison,WI,53719,(608) 826-3700,vetoffice@pawsmadison.com,https://www.petfinder.com/member/us/wi/madison/passion-for-paws-llc-wi517/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
WA674,BRAVE Rescue,,Onalaska,WA,98570,(206) 261-5339,Braverescue101@gmail.com,https://www.petfinder.com/member/us/wa/onalaska/brave-rescue-wa674/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IN738,"Oinking Acres Farm Rescue & Sanctuary, Inc",,Brownsburg,IN,46112,(317) 225-1761,oinkingacres@gmail.com,https://www.petfinder.com/member/us/in/brownsburg/oinking-acres-farm-rescue-and-sanctuary-inc-in738/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OK493,Tulsa FurBaby Lady,,Tulsa,OK,74104,(918) 760-9959,tulsafurbabylady@gmail.com,https://www.petfinder.com/member/us/ok/tulsa/tulsa-furbaby-lady-ok493/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2453,Be Intentional,,Orange,TX,77630,(409) 474-0505,info@beintentionalrescue.com,https://www.petfinder.com/member/us/tx/orange/be-intentional-tx2453/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AZ663,Twisted Tails Cat Rescue,,Phoenix,AZ,85053,(805) 635-7297,rescue@twistedtailsrescue.org,https://www.petfinder.com/member/us/az/phoenix/twisted-tails-cat-rescue-az663/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AL459,Lake Martin Animal Sanctuary,,Eclectic,AL,36024,(334) 380-6250,lmas2017@yahoo.com,https://www.petfinder.com/member/us/al/eclectic/lake-martin-animal-sanctuary-al459/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OH1253,"Straight from the ""Hart"" Animal Rescue",,Lorain,OH,44053,(440) 829-4840,straightfromthehartrescue@gmail.com,https://www.petfinder.com/member/us/oh/lorain/straight-from-the-hart-animal-rescue-oh1253/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2702,Healing Heart Haven for Animals,,Buena Park,CA,90620,(714) 723-6518,healinghearthaven@yahoo.com,https://www.petfinder.com/member/us/ca/buena-park/healing-heart-haven-for-animals-ca2702/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MI1075,Mason County Mutts,,Ludington,MI,49431,(231) 794-2757,masoncountymutts@gmail.com,https://www.petfinder.com/member/us/mi/ludington/mason-county-mutts-mi1075/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
LA398,Louisiana Imagine No Kill ,,Rayne,LA,70578,(337) 257-4669,Linkrescue@yahoo.com,https://www.petfinder.com/member/us/la/rayne/louisiana-imagine-no-kill-la398/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1685,Cuddles Unlimited,,Tampa,FL,33629,,CuddlesUnlimitedRescue@gmail.com,https://www.petfinder.com/member/us/fl/tampa/cuddles-unlimited-fl1685/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL947,Purrfect Cat Rescue,,Crystal Lake,IL,60012,(815) 900-8221,deb@purrfectcatrescue.com,https://www.petfinder.com/member/us/il/crystal-lake/purrfect-cat-rescue-il947/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AL475,Rally of Angels Rescue (ROAR),,Florala,AL,36442,(850) 398-3612,mindyjordan1@yahoo.com,https://www.petfinder.com/member/us/al/florala/rally-of-angels-rescue-roar-al475/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL921,Renko Animal Shelter ,,Plainfield ,IL,60544,(815) 649-0100,Renkoapps@gmail.com,https://www.petfinder.com/member/us/il/plainfield/renko-animal-shelter-il921/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
KY527,"Kentucky Kitty Cats, Inc.",,Cromwell,KY,42333,(270) 256-1803,Kykittycats@yahoo.com,https://www.petfinder.com/member/us/ky/cromwell/kentucky-kitty-cats-inc-ky527/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2369,Lift Me Up Rescue,PO Box 1314,Van Alstyne,TX,75495,(972) 543-3874,liftmeuprescue@gmail.com,https://www.petfinder.com/member/us/tx/van-alstyne/lift-me-up-rescue-tx2369/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1618,"Liberation Cat House, Inc",,Orlando,FL,32806,(407) 415-9172,Liberationcathouse@gmail.com,https://www.petfinder.com/member/us/fl/orlando/liberation-cat-house-inc-fl1618/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NY1426,Once Lost Now Found ,,Jeffersonville,NY,12748,(845) 798-8807,oncelostnowfounddogrescue@yahoo.com,https://www.petfinder.com/member/us/ny/jeffersonville/once-lost-now-found-ny1426/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
WV217,Just One Generation Cat Rescue,4397 Elk River Road,Frametown,WV,26623,(304) 364-4136,sstewart112@hotmail.com,https://www.petfinder.com/member/us/wv/frametown/just-one-generation-cat-rescue-wv217/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OK471,Heartprints Animal Rescue,,Noble,OK,73068,(405) 514-5353,heartprintsanimalrescue@gmail.com,https://www.petfinder.com/member/us/ok/noble/heartprints-animal-rescue-ok471/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1625,"ResQMe, A Homeless Dog Mission",,Miami,FL,33187,(305) 970-5970,resqmedogmission@aol.com,https://www.petfinder.com/member/us/fl/miami/resqme-a-homeless-dog-mission-fl1625/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OK473,Bixby Animal Rescue Network,,Tulsa,OK,74133,(918) 955-1914,barn74008@gmail.com,https://www.petfinder.com/member/us/ok/tulsa/bixby-animal-rescue-network-ok473/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2335,Iowa Park Animal Reclaim Center,,Iowa Park,TX,76367,(940) 592-2181,cdison@iowaparkpd.com,https://www.petfinder.com/member/us/tx/iowa-park/iowa-park-animal-reclaim-center-tx2335/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1628,All Paws on Deck Animal Rescue,,Winter Park,FL,32789,,allpawsfl@gmail.com,https://www.petfinder.com/member/us/fl/winter-park/all-paws-on-deck-animal-rescue-fl1628/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NY1468,"Valley Cats & Friends Animal Rescue, Inc.",,Valley Stream,NY,11581,,valleycatsandfriends@gmail.com,https://www.petfinder.com/member/us/ny/valley-stream/valley-cats-and-friends-animal-rescue-inc-ny1468/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1579,Dogtoli Dogs Rescue Inc.,,Coral Springs,FL,33071,(954) 296-4922,dogtolidogsrescue.inc@yahoo.com,https://www.petfinder.com/member/us/fl/coral-springs/dogtoli-dogs-rescue-inc-fl1579/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2309,Sierra's K9 Rescue and Rehab,,San Antonio,TX,78217,(210) 722-3377,sierrask9r_r@yahoo.com,https://www.petfinder.com/member/us/tx/san-antonio/sierras-k9-rescue-and-rehab-tx2309/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NC1037,Yahweh's Heart,3442 Harvey Rd,Washington,NC,27889,(252) 702-1930,yahwehsheartfarm@gmail.com,https://www.petfinder.com/member/us/nc/washington/yahwehs-heart-nc1037/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2833,MK's Rescue,,Elk Grove,CA,95758,(916) 838-8830,mksrescue@gmail.com,https://www.petfinder.com/member/us/ca/elk-grove/mks-rescue-ca2833/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MO729,"FIV Felines, Transports and More",,Holts Summit,MO,65043,,fivfelines@gmail.com,https://www.petfinder.com/member/us/mo/holts-summit/fiv-felines-transports-and-more-mo729/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NJ915,Maine Coons and More ,,Franklinville ,NJ,08322,,mainecoonsandmore@gmail.com,https://www.petfinder.com/member/us/nj/franklinville/maine-coons-and-more-nj915/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CO510,Katmandu Paonia,,Paonia,CO,81428,(970) 527-3424,gwinette@paonia.com,https://www.petfinder.com/member/us/co/paonia/katmandu-paonia-co510/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
VA824,Pearl's Piece Animal Rescue,,CHRISTIANSBURG,VA,24073,,pearlspieceanimalrescue@gmail.com,https://www.petfinder.com/member/us/va/christiansburg/pearls-piece-animal-rescue-va824/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2726,Howe - 2 Care 4 Critters,,Escondido,CA,92027,,howe2care4critters@gmail.com,https://www.petfinder.com/member/us/ca/escondido/howe-2-care-4-critters-ca2726/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
ME162,Four Legged Freedom Rescue,,Kennebunk ,ME,04043,(603) 387-5228,fourleggedfreedomrescue@gmail.com,https://www.petfinder.com/member/us/me/kennebunk/four-legged-freedom-rescue-me162/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NJ958,Misfit Angels of South Jersey,,AUDUBON,NJ,08106,(856) 285-8502,mtngirl4ever60@gmail.com,https://www.petfinder.com/member/us/nj/audubon/misfit-angels-of-south-jersey-nj958/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
HI44,Kauai SPCA,,Kilauea,HI,96754,(808) 652-3223,info@kauaispca.org,https://www.petfinder.com/member/us/hi/kilauea/kauai-spca-hi44/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NJ911,Rusty Rover Canine Rescue,,Freehold,NJ,07728,(732) 398-5933,rustyroverrescue@gmail.com,https://www.petfinder.com/member/us/nj/freehold/rusty-rover-canine-rescue-nj911/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1706,"The Grateful Dog Haven, Inc.",,ROYAL PALM BEACH,FL,33411,(561) 558-5221,gdhaven@outlook.com,https://www.petfinder.com/member/us/fl/royal-palm-beach/the-grateful-dog-haven-inc-fl1706/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
VA818,Almost Home Herding Dog Rescue,,Gum Spring,VA,23065,(804) 556-4330,almosthomehdr@gmail.com,https://www.petfinder.com/member/us/va/gum-spring/almost-home-herding-dog-rescue-va818/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
GA943,Red Clay Animal Rescue,,Savannah,GA,31405,,redclayanimalrescue@gmail.com,https://www.petfinder.com/member/us/ga/savannah/red-clay-animal-rescue-ga943/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
LA414,Furry Friends Animal Hospital,2330 Lapalco Blvd.,Harvey,LA,70058,(504) 366-6060,furryfriendsanimalhospital@yahoo.com,https://www.petfinder.com/member/us/la/harvey/furry-friends-animal-hospital-la414/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NJ932,Special Companion Animal Rescue,,Belle Mead,NJ,08502,,specialcompanionanimalrescue@gmail.com,https://www.petfinder.com/member/us/nj/belle-mead/special-companion-animal-rescue-nj932/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
